,bins,completeness,contamination
1616,bin.2459,77.14747474747475,6.666666666666667
1617,bin.243,84.88475177304964,0.29550827423167847
1619,bin.244,93.39345637583892,0.6711409395973155
1623,bin.2473,73.27586206896552,7.758620689655173
1624,bin.2449,80.76316859873907,4.586129753914988
1631,bin.2457,71.76850763807285,4.894242068155111
1634,bin.2481,81.83125130853514,6.741573033707865
1637,bin.2475,96.55172413793103,8.934169278996864
1641,bin.2442,93.45991561181435,2.2362869198312234
1644,bin.2438,81.3909541511772,2.6022304832713754
1647,bin.2447,89.55696202531645,5.168776371308017
1648,bin.2482,74.70134032634033,0.23310023310023306
1652,bin.2431,84.8478132387707,2.9550827423167845
1658,bin.2495,70.26645768025078,0.0
1660,bin.2498,88.20224719101124,1.1235955056179776
1664,bin.2501,92.49947658594459,2.247191011235955
1666,bin.2433,91.07687614399023,1.342281879194631
1671,bin.2463,90.80867850098619,2.366863905325444
1672,bin.2456,87.26114649681529,3.1461107894228912
1674,bin.2493,73.29097425871619,8.261648745519715
1675,bin.2470,95.44742729306488,4.746923937360179
1676,bin.250,73.36989355581127,4.430379746835443
1681,bin.2471,83.06451612903226,0.0
1683,bin.2511,76.82424242424243,1.3333333333333333
1685,bin.2462,92.02608522500995,1.7592592592592593
1691,bin.2506,76.19788488916005,4.557657107992679
1694,bin.2509,83.36213451302966,4.590620031796502
1705,bin.2529,94.73684210526316,7.655502392344497
1711,bin.2532,72.92121212121212,8.0
1712,bin.2513,83.21678321678321,2.8671328671328666
1713,bin.2518,73.29545454545455,8.643250688705233
1716,bin.2480,93.52941176470588,1.3235294117647058
1719,bin.2528,81.89317673378076,2.684563758389262
1731,bin.2535,73.03030303030303,3.376623376623377
1740,bin.2524,77.96690307328606,0.4728132387706855
1742,bin.2533,78.46959528167582,3.921979865771812
1744,bin.2570,90.3225806451613,1.075268817204301
1746,bin.2566,97.6969696969697,1.6
1747,bin.2575,84.4080808080808,5.333333333333333
1753,bin.2549,75.10283201138905,5.0
1754,bin.2555,81.83264386372045,1.540880503144654
1757,bin.2537,84.45190156599551,2.4328859060402683
1758,bin.2565,79.65832824893226,2.481823266219239
1763,bin.2556,90.54702340706397,2.7011494252873565
1770,bin.253,90.54809843400449,0.22371364653243844
